no,nama_gereja,jumlah_anggota_jemaat,nama_pemimpin_gereja,status_gedung_gereja,kecamatan,,,,,,,,,,,,,,,
1,HKBP Pematang Pao,230,St. Pariaman Siagian,Permanen,Nibung Hangus,,,,,,,,,,,,,,,
2,GPdI Pematang Pao,44,Pdt. Ilmar Samoiri,Permanen,Nibung Hangus,,,,,,,,,,,,,,,
3,GPI Pematang Pao,40,St. Netty br. Tambunan,Permanen,Nibung Hangus,,,,,,,,,,,,,,,
4,HKI Pematang Pao,150,St. Saut Lumban Tobing,Permanen,Nibung Hangus,,,,,,,,,,,,,,,
5,GSJA Pematang Pao,42,Pdm. Tariana simbolon,Permanen,Nibung Hangus,,,,,,,,,,,,,,,
6,GKPI Lontung Baru,45,St. tarmauli br. Nambela,Permanen,Nibung Hangus,,,,,,,,,,,,,,,
7,GPI Lontung Barucdff.  k,30,Pdt. Carles Rumahombar,Permanen,Nibung Hangus,,,,,,,,,,,,,,,
8,HKBP Lontung Baru,110,St. Sinaga Lontung baru,Permanen,Nibung Hangus,,,,,,,,,,,,,,,
9,HKBP ~©,128,St. Siahaan Pematang Nibung,Permanen,Nibung Hangus,,,,,,,,,,,,,,,
10,GKPI Pematang Nibung,66,St. Tarmauli Sinambela,Permanen,Nibung Hangus,,,,,,,,,,,,,,,
11,GPdI Lontung Baru,44,Pdt. Tenang Ukur Sitepu,Permanen,Nibung Hangus,,,,,,,,,,,,,,,
12,SILOAM Lontung Baru,44,Pdt. Kopen Lbn Tungkup,Permanen,Nibung Hangus,,,,,,,,,,,,,,,
13,Gereja Pentakosta (G.P),25,GR. K. Marbun,Permanen,Nibung Hangus,,,,,,,,,,,,,,,
14,GMI Pematang Nibung,54,"Gr. Rajes Situmorang, S.Th",Permanen,Nibung Hangus,,,,,,,,,,,,,,,
15,GMI seibejangkar,43,Pdt S Purba S.Th,Permanen,Sei Balai,,,,,,,,,,,,,,,
16,HKBP Seibejangkar,86,Pdt R. Sihombing S.Th,Permanen,Sei Balai,,,,,,,,,,,,,,,
17,GKPI seibejangkar,50,Pdt. Napitupulu S.Th,Permanen,Sei Balai,,,,,,,,,,,,,,,
18,GBI seibejangkar,8,St. R. br Simangunsong,Permanen,Sei Balai,,,,,,,,,,,,,,,
19,GPDI Seibejangkar,34,Pdt. S. Manurung,Permanen,Sei Balai,,,,,,,,,,,,,,,
20,HKBP seibalai,98,Pdt. D. Jantes Nababan,Permanen,Sei Balai,,,,,,,,,,,,,,,
21,GMI seibalai,100,Pdt. Lamhot Situmorang S.Th,Permanen,Sei Balai,,,,,,,,,,,,,,,
22,GPI kualasikam,40,St. E. Sirait,Permanen,Sei Balai,,,,,,,,,,,,,,,
23,HKBP kualasikam,68,Pdt. D. Jantes Nababan,Permanen,Sei Balai,,,,,,,,,,,,,,,
24,GKPI Sidomulyo,32,St. J. Purba,Permanen,Sei Balai,,,,,,,,,,,,,,,
25,HKBP Sidomulyo,60,Pdt. D. Jantes Nababan,Permanen,Sei Balai,,,,,,,,,,,,,,,
26,GBKP simaholder,54,St. R. Peranginangin,Permanen,Sei Balai,,,,,,,,,,,,,,,
27,GKLI taman sari,44,Pdt Swingly Sitohang STh,Permanen,Sei Balai,,,,,,,,,,,,,,,
28,GKMI desa durian,28,Pdt Sukalena Sembiring M.Th,Permanen,Sei Balai,,,,,,,,,,,,,,,
29,GMI kampung durian,38,Pdt R br Sipadang STh,Permanen,Sei Balai,,,,,,,,,,,,,,,
30,HKBP desa durian,43,Pdt. Pantur Purba STh,Permanen,Sei Balai,,,,,,,,,,,,,,,
31,GMI kualasikam,80,Ls. R Siagian,Permanen,Sei Balai,,,,,,,,,,,,,,,
32,Gereja HKBP Tapian Nauli,128,Parhangir Herta Situmeang,Permanen,Datuk Tanah Datar,,,,,,,,,,,,,,,
33,Gereja GPI Parulian,138,Guru Jemaat Ronsen Nainggolan,Permanen,Datuk Tanah Datar,,,,,,,,,,,,,,,
34,Gereja GPDI Efrata,60,Pendeta Mein Manalu SMTH,Permanen,Datuk Tanah Datar,,,,,,,,,,,,,,,
35,Gereja GPdI SION,85,Pendeta W.sianturi,Permanen,Datuk Tanah Datar,,,,,,,,,,,,,,,
36,Gereja HKBP Pasar Kacang,400,Pendeta Jernita Siregar S.th,Permanen,Datuk Tanah Datar,,,,,,,,,,,,,,,
37,Gereja GKPI Maranatha tanah datar,350,Pdt. Dapot Napitupulu,Permanen,Datuk Tanah Datar,,,,,,,,,,,,,,,
38,Gereja GKPI Tanah Datar,300,Pdt. Dapot Napitupulu,Permanen,Datuk Tanah Datar,,,,,,,,,,,,,,,
39,Gereja Pentakosta (GP) Titi Putih,25,Pendeta Marubin Nainggolan,Permanen,Datuk Tanah Datar,,,,,,,,,,,,,,,
40,Gereja Advent Hari Ke Tujuh,27,Pendeta Misdon Silalahi,Permanen,Datuk Tanah Datar,,,,,,,,,,,,,,,
41,HKBP Gunung Sakti,150,Pdt. Agus Tampobolon,Permanen,Talawi,,,,,,,,,,,,,,,
42,GKPI Gunung Sakti,86,Pdt. Dapot Napitupulu,Permanen,Talawi,,,,,,,,,,,,,,,
43,HKBP Pandomayu,150,Pdt. Agus Tampobolon,Permanen,Talawi,,,,,,,,,,,,,,,
44,HKBP Lab.Ruku II/Gunung Kaluat,360,"Pdt Edison Nababan, S.Th",Permanen,Talawi,,,,,,,,,,,,,,,
45,GMI Pandomayu,76,Pdt. Nurintan Siahaan,Permanen,Talawi,,,,,,,,,,,,,,,
46,GPI Pandomayu,50,Pdt. A. Sinaga,Permanen,Talawi,,,,,,,,,,,,,,,
47,Pentakosta Pandomayu,21,Pdt. R. Simaremare,Permanen,Talawi,,,,,,,,,,,,,,,
48,HKBP Lab. Ruku,94,Pdt. Agus Tampobolon,Permanen,Talawi,,,,,,,,,,,,,,,
49,GPSU Pandomayu,14,Pdt. J.Ambarita,Permanen,Talawi,,,,,,,,,,,,,,,
50,HKBP Parsaoran Kampung Kandang,150,Pdt. Agus Tampobolon,Permanen,Talawi,,,,,,,,,,,,,,,
51,GSJPDI Kampung Tiga Dalok,15,Pdt. D. Sitohang,Permanen,Talawi,,,,,,,,,,,,,,,
52,GKPI Cahaya Pardomuan,100,Pdt. Dapot Napitupulu,Permanen,Datuk Lima Puluh,,,,,,,,,,,,,,,
53,GPdI CAPOR,120,S. Hutasoit,Permanen,Datuk Lima Puluh,,,,,,,,,,,,,,,
54,HKI Cahaya Pardomuan,160,Ernis Damanik,Permanen,Datuk Lima Puluh,,,,,,,,,,,,,,,
55,HKBP Cahaya Pardomuan,450,Pdt. Nababan,Permanen,Datuk Lima Puluh,,,,,,,,,,,,,,,
56,GEREJA Pantekosta Cahaya Pardomuan,100,A. Sagala,Permanen,Datuk Lima Puluh,,,,,,,,,,,,,,,
57,GKII Simpang Dolok,80,A. Silaen,Permanen,Datuk Lima Puluh,,,,,,,,,,,,,,,
58,GPI Simpang Dolok,60,Gr. A. Sirait,Permanen,Datuk Lima Puluh,,,,,,,,,,,,,,,
59,GMI Imanuel Simpang Dolok,104,Pdt. H. Br. SIMBOLON,Permanen,Datuk Lima Puluh,,,,,,,,,,,,,,,
60,GBIS Desa Lubuk Besar,60,Arnold Rumahorbo,Permanen,Datuk Lima Puluh,,,,,,,,,,,,,,,
61,Gereja Advent Hari Ke Tujuh,15,Rouli Br.Siahaan,Permanen,Datuk Lima Puluh,,,,,,,,,,,,,,,
62,HKBP Tanah Itam,134,D. Lumbangaol,Milik Perkebunan,Datuk Lima Puluh,,,,,,,,,,,,,,,
63,GKPI Simpang Dolok,60,L. Br. Hutapea,Permanen,Datuk Lima Puluh,,,,,,,,,,,,,,,
64,GBI Rawa Dolik,130,"Pdt. Botlan Sirait, S.Th",Permanen,Datuk Lima Puluh,,,,,,,,,,,,,,,
65,HKBP Simpang Dolok,300,A. Sitorus,Permanen,Datuk Lima Puluh,,,,,,,,,,,,,,,
66,HKI Simpang Dolok,51,P. Hutasoit,Permanen,Datuk Lima Puluh,,,,,,,,,,,,,,,
67,GKPA Lima Puluh,36,Pdt. Jona Marpaung,Permanen,Lima Puluh,,,,,,,,,,,,,,,
68,GPI ( Gereja Pentakosta Indonesia ),90,Bapak Sitanggang,Permanen,Lima Puluh,,,,,,,,,,,,,,,
69,GPdI Lima Puluh,75,Pdt. D.Malau,Permanen,Lima Puluh,,,,,,,,,,,,,,,
70,GKII (Gereja Kebangkitan Iman Indonesia),12,Pdt. M. Hutajulu,Permanen,Lima Puluh,,,,,,,,,,,,,,,
71,GPDI Lima Puluh,36,Pdt. Sitompul,Permanen,Lima Puluh,,,,,,,,,,,,,,,
72,HKBP Lima Puluh Kota,936,Pdt. Jimi Hutabarat. Sta,Permanen,Lima Puluh,,,,,,,,,,,,,,,
73,GKPI Jemaat Khusus Lima Puluh,420,Pdt. Adi Hartono Sianturi,Permanen,Lima Puluh,,,,,,,,,,,,,,,
74,GBI Lima Puluh,6,Pdt. E. Hutabalian,Permanen,Lima Puluh,,,,,,,,,,,,,,,
75,GSRI Lima Puluh,20,Pdt. Sembiring,Permanen,Lima Puluh,,,,,,,,,,,,,,,
76,PIDE Lima Puluh,6,Pdt. J. Simanjuntak,Permanen,Lima Puluh,,,,,,,,,,,,,,,
77,GKII (Gereja Kemenangan Iman Indonesia),21,Pdt. Assat Barus,Permanen,Lima Puluh,,,,,,,,,,,,,,,
78,GMI Lima Puluh,14,Pdt. Ridhoi Situmorang,Permanen,Lima Puluh,,,,,,,,,,,,,,,
79,HKBP Sibulan-Bulan,150,Pdt. Roni Silitonga MT.h,Permanen,Lima Puluh Pesisir,,,,,,,,,,,,,,,
80,GPDI Anugerah Bulan-bulan,75,Pdt.Lamian Br Lumban Tobing,Permanen,Lima Puluh Pesisir,,,,,,,,,,,,,,,
81,HKBP Pematang Tengah,140,Pdt. Ronni Silitonga,Permanen,Lima Puluh Pesisir,,,,,,,,,,,,,,,
82,GPI Pematang Tengah,40,Pdt. Tulus Samosir,Permanen,Lima Puluh Pesisir,,,,,,,,,,,,,,,
83,GPDI Pematang Tengah,35 KK,Pdt.W. Silitonga,Milik Sendiri,Lima Puluh Pesisir,,,,,,,,,,,,,,,
84,HKI Pematang Tengah,40,Pdt. Simpan M.P Sihombing S.Th,Permanen,Lima Puluh Pesisir,,,,,,,,,,,,,,,
85,Gereja Tuhan di Indonesia ( GTDI ) Pematang Panjang,30,"Pdt, Timotius Rangkuti",Permanen ,Air Putih,,,,,,,,,,,,,,,
86,Gereja Bethel Indonesia Cinta Damai,143,"Pdt.Yosia Sihombing,s.Th",Permanen ,Air Putih,,,,,,,,,,,,,,,
87,Gereja Pentakosta DI Indonesia Pematang Panjang ( GPDI ),87,Pdt. Rut Manullang,Permanen ,Air Putih,,,,,,,,,,,,,,,
88,Gereja Pentakosta DI Indonesia Sukaramai ( GPDI ),120,"Pdt, Luskia Sitinjak",Permanen ,Air Putih,,,,,,,,,,,,,,,
89,Gereja Kristen Protestan Indonesi ( GKPI ) Tanjung Muda,48,"Pdt, Naek Gultom STh",Permanen ,Air Putih,,,,,,,,,,,,,,,
90,Gereja Pantekosta Kudus Indonesia ( GEPKIN ) Hosana Indrapura ,51,Pdt J.Sitorus STh,Permanen ,Air Putih,,,,,,,,,,,,,,,
91,Gereja Pentakosta di Indonesia ( GPdI ) Eklesia,40,"Pdt, Rusli Siburian",Permanen,Air Putih,,,,,,,,,,,,,,,
92,Gereja Kebangkitan Iman Indonesia (GKII) Tanjung Kubah Indrapura,50,Pdt. Hosea Panggabean,Permanen ,Air Putih,,,,,,,,,,,,,,,
93,HKI BANJAR TOBA,120,Pdt. Simpan Sihombing STh,Permanen ,Air Putih,,,,,,,,,,,,,,,
94,HKBP BANJAR TOBA,160,Diakones : Indah Tobing,Permanen ,Air Putih,,,,,,,,,,,,,,,
95,Gereja Pentakosta Indonesia ,40,Pdt. Galumbang sitinjak,Permanen ,Air Putih,,,,,,,,,,,,,,,
96,Gereja Kristen Indonesia,70,Pdt. J. Siregar,Permanen ,Air Putih,,,,,,,,,,,,,,,
97,GPdI Gloria ,60,Pdt. Adrianus lamajido,Permanen ,Air Putih,,,,,,,,,,,,,,,
98,HKBP Tanjung Muda,150,"Pdt.Linda O.E. Lumban Raja,S.Th",Permanen ,Air Putih,,,,,,,,,,,,,,,
99,Gereja pentakosta indonesia,250,Pdt. H. Saragi MPdk,Permanen ,Air Putih,,,,,,,,,,,,,,,
100,HKBP CINTA DAMAI,200,Pdt. Roni Silitonga MTh,Permanen ,Air Putih,,,,,,,,,,,,,,,
101,HKBP Resort tanah tinggi,280,"Pdt.Linda O.E. Lumban Raja,S.Th",Permanen ,Air Putih,,,,,,,,,,,,,,,
102,HKBP Sukaramai,130,Pdt. Roni Silitonga MTh,Permanen ,Air Putih,,,,,,,,,,,,,,,
103,GPdI cinta damai ,46,Pdt. R. Manurung ,Permanen ,Air Putih,,,,,,,,,,,,,,,
104,Gereja Pentakosta Indonesia Sukaramai,46,Sunggul Sihombing,Permanen ,Air Putih,,,,,,,,,,,,,,,
105,HKBP Indrapura kota,145,"Pdt. Danny EB Simanjuntak, S.Th",Permanen ,Air Putih,,,,,,,,,,,,,,,
106,HKBP Maranata Tanjung Kuba,160,Pdt Roni Silitonga Mth,Permanen ,Air Putih,,,,,,,,,,,,,,,
107,HKI Indrapura,85,Pdt Simpan Sihombing Sth,Permanen ,Air Putih,,,,,,,,,,,,,,,
108,GBKP ( Gereja Batak Karo Protestan ),120,Pdt Lit Malemna Br Barus STh,Permanen ,Air Putih,,,,,,,,,,,,,,,
109,HKBP Sei Brohol,78,Pdt D.Simanjuntak.STh,Permanen ,Air Putih,,,,,,,,,,,,,,,
110,GKPS Indrapura,394,Pdt Maria Br Girsang STh,Permanen ,Air Putih,,,,,,,,,,,,,,,
111,GMI Wesley Indrapura,119,Pdt Augustina Hutahaean. S.Th.,Permanen ,Air Putih,,,,,,,,,,,,,,,
112,HKBP Pasar Lapan ,136,M. Siburian,Permanen ,Air Putih,,,,,,,,,,,,,,,
113,GKPI Indrapura,648,Pdt.Naek Gultom Sth,Permanen ,Air Putih,,,,,,,,,,,,,,,
114,GPDI ( Gereja Pentakosta Di Indonesia ),96,Pdp.Aron Hiskia Siringo-ringo,Permanen ,Air Putih,,,,,,,,,,,,,,,
115,GPI ( Gereja Pentakosta Indonesia ),84,Pdt.J.Sitinjak,Permanen ,Air Putih,,,,,,,,,,,,,,,
116,GEPKIN Berdikari Hosana Tanjung Kubah,89,"Pdt James Sirait, SE",Permanen ,Air Putih,,,,,,,,,,,,,,,
117,Gereja Punguan Kristen Batak ( GPKB ),24,Pdt. Irvan Siamora,Kontrak,Air Putih,,,,,,,,,,,,,,,
118,GKPI Sukaramai,98,"Pdt, Naek Gultom STh",Permanen ,Air Putih,,,,,,,,,,,,,,,
119,Gereja Bethel Indonesia Aras,88,Pdt.Erika Manullang,Permanen ,Air Putih,,,,,,,,,,,,,,,
120,Gereja Pentakosta Indonesia Sukamulia,43,Pdt. R. Pasaribu,Permanen ,Air Putih,,,,,,,,,,,,,,,
121,Gereja Pentakosta Indonesia Pematang Tengah,53,Pdt. S. Pasaribu,Permanen ,Air Putih,,,,,,,,,,,,,,,
122,"GMAHK Agape Cinta Damai, Indrapura",40,"St, R. Galingging",Permanen ,Air Putih,,,,,,,,,,,,,,,
123,HKI Pematang Tengah,43,Pdt. Simpan Sihombing STh,Permanen ,Air Putih,,,,,,,,,,,,,,,
124,HKBP Resort Suka Mulia,80,Pdt. Siahaan STh,Permanen,Air Putih,,,,,,,,,,,,,,,
125,HKBP Pulau Harapan,69,"Pdt.Linda O.E. Lumban Raja,S.Th",Permanen ,Air Putih,,,,,,,,,,,,,,,
126,HKBP Kampung Kelapa,46,"Pdt, Ronni Silitonga",Permanen ,Air Putih,,,,,,,,,,,,,,,
127,GKPS Sukamulia,58,Pdt. Maria Girsang STh,Permanen ,Air Putih,,,,,,,,,,,,,,,
128,GPI Pulau Harapan,45,D. Nababan,Permanen ,Air Putih,,,,,,,,,,,,,,,
129,HKBP Blok 12,78,Pdt. Roni Silitonga MTh,Permanen ,Air Putih,,,,,,,,,,,,,,,
